"SITEID","TARGSITEID","SAMPLEID","HgCOMP"
2007190342,"TS0404",2007190342002,14.8893
2007190343,"TS0865",2007190343001,26.7956
2007190343,"TS0865",2007190343002,14.8764
2007190344,"TS1013",2007190344001,7.5197
2007190344,"TS1013",2007190344002,6.7005
2007190345,"TS0635",2007190345001,9.4236
2007190345,"TS0635",2007190345002,14.5331
2007190346,"TS1197",2007190346001,16.5433
2007190347,"TS0786",2007190347001,8.237
2007190347,"TS0786",2007190347002,6.8944
2007190348,"TS0913",2007190348001,8.3984
2007190348,"TS0913",2007190348002,8.8244
2007190349,"TS0282",2007190349001,20.5702
2007190349,"TS0282",2007190349002,23.3142
2007190350,"TS0119",2007190350001,24.79
2007190352,"TS1327",2007190352001,99.3326
2007190352,"TS1327",2007190352002,57.32
2007190354,"TS0249",2007190354001,4.5182
2007190354,"TS0249",2007190354002,5.4546
2007190355,"TS0437",2007190355001,10.6477
2007190355,"TS0437",2007190355002,8.8142
2007190357,"TS0684",2007190357001,4.6843
2007190357,"TS0684",2007190357002,6.23805
2007190358,"TS1278",2007190358001,32.4527
2007190358,"TS1278",2007190358002,26.4884
2007190359,"TS0647",2007190359001,10.6419
2007190359,"TS0647",2007190359002,8.4301
2007190361,"TS0582",2007190361001,23.4593
2007190361,"TS0582",2007190361002,13.268
2007190363,"TS0814",2007190363001,10.4132
2007190363,"TS0814",2007190363002,4.4038
2007190364,"TS1287",2007190364001,18.4303
2007190364,"TS1287",2007190364002,9.0914
2007190366,"TS1218",2007190366001,99.37455
2007190366,"TS1218",2007190366002,102.29905
2007190367,"TS0916",2007190367001,10.2801
2007190367,"TS0916",2007190367002,8.7507
2007190368,"TS1253",2007190368001,22.6916
2007190368,"TS1253",2007190368002,136.46475
2007190369,"TS0735",2007190369001,15.8301
2007190369,"TS0735",2007190369002,14.8583
2007190370,"TS0277",2007190370001,10.6308
2007190370,"TS0277",2007190370002,8.1636
2007190372,"TS1288",2007190372001,12.8511
2007190372,"TS1288",2007190372002,6.8862
2007190373,"TS0800",2007190373001,7.3419
2007190373,"TS0800",2007190373002,11.0736
2007190374,"TS0892",2007190374001,11.0106
2007190374,"TS0892",2007190374002,4.30125
2007190375,"TS0450",2007190375001,16.7983
2007190375,"TS0450",2007190375002,20.0353
2007190377,"TS0690",2007190377001,5.5872
2007190377,"TS0690",2007190377002,5.7209
2007190378,"TS1293",2007190378001,11.39785
2007190378,"TS1293",2007190378002,18.6956
2007190379,"TS0849",2007190379001,26.1286
2007190379,"TS0849",2007190379002,21.388
2007190381,"TS1387",2007190381001,63.3456
2007190381,"TS1387",2007190381002,57.37585
2007190382,"TS0990",2007190382001,3.1708
2007190382,"TS0990",2007190382002,4.17
2007190383,"TS1009",2007190383001,13.2075
2007190383,"TS1009",2007190383002,13.7049
2007190384,"TS0809",2007190384001,16.1494
2007190384,"TS0809",2007190384002,22.623
2007190385,"TS1079",2007190385001,10.0383
2007190385,"TS1079",2007190385002,10.2467
2007190386,"TS0299",2007190386001,28.00455
2007190386,"TS0299",2007190386002,13.4804
2007190389,"TS0110",2007190389001,15.4865
2007190389,"TS0110",2007190389002,11.0298
2007190390,"TS0798",2007190390001,13.4176
2007190390,"TS0798",2007190390002,14.7997
2007190391,"TS0187",2007190391001,4.321
2007190391,"TS0187",2007190391002,3.9879
2007190392,"TS0910",2007190392001,11.0671
2007190392,"TS0910",2007190392002,9.844
2007190393,"TS1334",2007190393001,33.1509
2007190393,"TS1334",2007190393002,9.9972
2007190394,"TS1265",2007190394001,26.5738
2007190394,"TS1265",2007190394002,27.8813
2007190395,"TS0565",2007190395001,33.0809
2007190395,"TS0565",2007190395002,44.4285
2007190396,"TS1243",2007190396001,14.734
2007190396,"TS1243",2007190396002,8.9486
2007190398,"TS0438",2007190398001,21.0934
2007190398,"TS0438",2007190398002,12.3916
2007190399,"TS0711",2007190399001,10.79475
2007190399,"TS0711",2007190399002,9.02
2007190401,"TS1083",2007190401001,18.7869
2007190401,"TS1083",2007190401002,14.0599
2007190402,"TS0298",2007190402001,14.1083
2007190402,"TS0298",2007190402002,13.737
2007190403,"TS1120",2007190403001,25.1738
2007190403,"TS1120",2007190403002,9.6672
2007190404,"TS1068",2007190404001,9.9829
2007190406,"TS0981",2007190406001,16.15955
2007190406,"TS0981",2007190406002,17.9274
2007190407,"TS1075",2007190407001,4.902
2007190407,"TS1075",2007190407002,3.4637
2007190408,"TS0603",2007190408001,26.2013
2007190408,"TS0603",2007190408002,15.34435
2007190410,"TS0595",2007190410001,58.8071
2007190410,"TS0595",2007190410002,31.2599
2007190411,"TS0356",2007190411001,12.5851
2007190411,"TS0356",2007190411002,15.8995
2007190412,"TS0129",2007190412001,34.67515
2007190412,"TS0129",2007190412002,18.7872
2007190413,"TS0923",2007190413001,10.3347
2007190413,"TS0923",2007190413002,6.1627
2007190414,"TS1346",2007190414001,14.2314
2007190414,"TS1346",2007190414002,12.33515
2007190418,"TS0558",2007190418001,6.3908
2007190418,"TS0558",2007190418002,4.1361
