SITEID,SAMPLEID,HgCOMP
2007190461,2007190461002,15.3687
2007190462,2007190462001,36.0715
2007190462,2007190462002,15.2312
2007190463,2007190463001,12.4264
2007190463,2007190463002,12.5929
2007190465,2007190465001,39.18075
2007190465,2007190465002,27.6801
2007190466,2007190466001,18.4026
2007190466,2007190466002,4.3012
2007190468,2007190468001,4.867
2007190469,2007190469001,45.5552
2007190469,2007190469002,46.123
2007190472,2007190472001,12.2392
2007191312,2007191312001,10.3669
2007190472,2007190472002,10.2
2007191312,2007191312002,9.0681
2007190473,2007190473001,25.3372
2007190473,2007190473002,21.143
2007190474,2007190474001,34.7156
2007190474,2007190474002,34.82235
2007190475,2007190475001,20.2388
2007190475,2007190475002,4.6298
2007190476,2007190476001,8.3268
2007190476,2007190476002,2.81305
2007190477,2007190477001,75.7872
2007190477,2007190477002,16.6641
2007190478,2007190478001,10.7478
2007190478,2007190478002,6.9269
2007190479,2007190479001,9.6032
2007190479,2007190479002,9.05985
2007190481,2007190481001,2.0429
2007191594,2007191594001,4.9976
2007190481,2007190481002,1.9889
2007191594,2007191594002,5.2587
2007190483,2007190483001,8.4802
2007190483,2007190483002,6.1116
2007190484,2007190484001,42.0198
2007190484,2007190484002,12.0088
2007190485,2007190485002,69.2652
2007190486,2007190486001,14.0415
2007190486,2007190486002,15.9159
2007190487,2007190487001,8.8512
2007190487,2007190487002,8.5446
2007190488,2007190488001,59.1827
2007190488,2007190488002,18.2817
2007190490,2007190490001,41.7013
2007190490,2007190490002,14.3047
2007190491,2007190491001,27.7846
2007190491,2007190491002,21.111
2007190492,2007190492001,27.08305
2007190492,2007190492002,26.0056
2007190493,2007190493001,25.6883
2007190493,2007190493002,15.4078
2007190494,2007190494001,15.67625
2007190494,2007190494002,11.5726
2007190495,2007190495001,39.7623
2007191318,2007191318001,43.31905
2007190495,2007190495002,52.9089
2007191318,2007191318002,51.8357
2007190496,2007190496001,14.274
2007190496,2007190496002,24.1278
2007190497,2007190497001,25.9463
2007190586,2007190586001,27.3645
2007190497,2007190497002,41.2826
2007190586,2007190586002,34.4984
2007190498,2007190498001,12.3772
2007190498,2007190498002,8.577
2007190499,2007190499001,47.2732
2007190499,2007190499002,25.6272
2007190501,2007190501001,38.5417
2007190501,2007190501002,69.8004
2007190502,2007190502001,7.4164
2007190502,2007190502002,8.0604
2007190503,2007190503001,11.7676
2007190503,2007190503002,9.5615
2007190505,2007190505001,1.8758
2007190505,2007190505002,2.67995
2007190506,2007190506001,7.5767
2007190506,2007190506002,10.7525
2007190631,2007190631002,6.2906
